Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g)
Confit de canard,285.24,25.7,49.7,3.31,18.8
"Confit de canard, viande (cuisse), sans peau, réchauffé",194.6,32.0,58.0,0.0,7.4
Confit de foie de porc,345.4,16.0,42.9,14.1,25.0
Confit de foie de volaille,355.68,14.0,46.7,7.42,30.0
Confiture d'abricot (extra ou classique),244.49,0.32,38.9,60.6,0.09
Confiture de cerise (extra ou classique),246.64,0.4,39.5,60.9,0.16
Confiture de fraise (extra ou classique),244.72,0.32,37.9,60.5,0.16
Confiture de framboise (extra ou classique),247.81,0.48,39.9,61.0,0.21
Confiture de lait,307.89,6.71,28.1,58.0,5.45
"Confiture, tout type de fruits, allégée en sucres (extra ou classique)",168.61,0.48,54.8,41.2,0.21
"Congre, cru",114.6,18.3,73.2,0.0,4.6
Cookie aux pépites de chocolat,494.98,6.47,3.46,59.0,25.9
Coppa,284.0,25.0,0.0,1.0,20.0
Coq au vin,131.0,13.0,0.0,4.0,7.0
"Coquille Saint-Jacques, noix et corail, crue",82.91,17.0,79.3,0.78,1.31
"Coquille Saint-Jacques, noix et corail, cuite",109.61,20.2,73.0,3.22,1.77
"Coquille Saint-Jacques, noix, crue",83.76,17.9,78.7,1.15,0.84
"Corb, cru",87.2,20.0,78.0,0.0,0.8
Cordon bleu de volaille,231.0,14.0,54.1,16.3,12.2
"Corégone lavaret, cru",114.6,21.9,74.0,0.0,3.0
"Coriandre, fraiche",16.68,2.13,92.2,0.87,0.52
"Coriandre, graine",261.8,12.4,8.88,13.0,17.8
Corne de gazelle (pâtisserie orientale aux amandes et sirop),473.9,8.55,8.22,60.2,22.1
"Corned-beef, appertisé",186.9,23.1,63.4,0.0,10.5
"Cornichon, aigre-doux",28.15,1.25,91.5,5.0,0.35
"Cornichon, au vinaigre",12.53,1.18,92.3,1.3,0.29
"Coulirou, cru",70.9,17.5,0.0,0.0,0.1
Coulommiers,279.6,18.6,56.0,0.0,22.8
Coupe glacée parfum pêche Melba ou poire Belle-Hélène,162.68,0.91,0.0,32.2,3.36
Coupe glacée type café ou chocolat liégeois,216.56,3.04,0.0,28.6,10.0
"Courge doubeurre (butternut), pulpe, crue",21.02,1.0,86.4,4.03,0.1
"Courge hokkaïdo, pulpe, crue",50.92,1.4,86.1,9.98,0.6
"Courge melonnette, pulpe, crue",28.09,0.75,91.2,5.98,0.13
"Courge musquée, pulpe, crue",21.5,0.55,93.3,4.6,0.1
"Courge spaghetti, pulpe, crue",29.33,0.64,91.6,5.41,0.57
"Courge spaghetti, pulpe, cuite",25.22,0.66,92.3,5.06,0.26
"Courge, crue",12.33,1.1,92.3,1.6,0.17
"Courgette, pulpe et peau, crue",14.42,1.22,94.7,1.8,0.26
"Courgette, pulpe et peau, cuite",12.56,0.93,93.8,1.4,0.36
"Courgette, pulpe et peau, surgelée, crue",15.06,1.27,94.6,2.18,0.14
"Courgette, purée",54.3,2.8,0.0,6.5,1.9
"Couronne de Noël (Brioche) aux fruits confits, préemballée",352.7,7.2,25.0,53.3,12.3
"Court-bouillon pour poissons, déshydraté",255.0,5.0,0.0,7.0,23.0
"Couscous (semoule de blé dur roulée précuite à la vapeur), crue",353.05,12.3,8.56,72.7,1.45
"Couscous (semoule de blé dur roulée précuite à la vapeur), cuite, non salée",159.32,5.19,59.0,33.2,0.64
Couscous à la viande,122.93,7.59,69.2,12.5,4.73
"Couscous à la viande ou au poulet, allégé",86.7,5.9,72.9,11.5,1.9
Couscous au mouton,146.84,8.31,68.9,12.2,7.2
Couscous au poisson,101.2,7.5,75.6,14.2,1.6
Couscous au poulet,127.05,7.5,66.9,15.6,3.85
Couscous de légumes,109.53,4.32,71.1,18.0,2.25
Couscous royal (avec plusieurs viandes),127.53,7.69,69.2,14.0,4.53
"Crabe ou Tourteau, bouilli/cuit à l'eau",123.77,19.5,72.3,1.79,4.29
"Crabe, cru",118.25,23.1,75.7,0.027,2.86
"Crabe, miettes et ou pattes décortiquées, appertisé, égoutté",110.2,16.8,72.4,6.7,1.8
Crackers de table au froment,439.0,7.75,0.0,75.0,12.0
"Crème anglaise, préemballée",103.06,3.44,77.7,16.7,2.5
"Crème aux œufs (petit pot de crème chocolat, vanille, etc.), rayon frais",172.6,4.37,66.5,18.8,8.88
"Crème brûlée, rayon frais",281.04,4.46,54.7,19.0,20.8
"Crème caramel, rayon frais",139.0,4.45,69.0,22.2,3.6
"Crème chantilly, sous pression, UHT",275.12,2.58,61.3,11.3,24.4
Crème de cassis,165.6,0.0,46.0,41.4,0.0
"Crème de lait, 15 à 20% MG, légère, épaisse, rayon frais",171.6,3.2,75.0,4.6,15.6
"Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT",159.96,2.64,77.0,4.5,14.6
"Crème de lait, 30% MG, épaisse, rayon frais",293.14,2.47,63.8,2.19,30.5
"Crème de lait, 30% MG, semi-épaisse, UHT",309.94,2.11,58.9,3.15,32.1
Crème de marrons,263.15,1.28,33.3,63.0,0.67
"Crème de marrons vanillée, appertisée",250.94,0.96,34.6,60.2,0.7
"Crème dessert à la vanille, appertisée",120.1,3.88,73.5,18.0,3.62
"Crème dessert à la vanille, rayon frais",99.65,2.82,78.6,14.6,3.33
"Crème dessert au café, rayon frais",110.93,2.93,76.1,16.5,3.69
"Crème dessert au caramel, rayon frais",110.91,2.92,75.9,17.0,3.47
"Crème dessert au chocolat, appertisée",122.98,3.25,69.0,19.8,3.42
"Crème dessert au chocolat, rayon frais",124.17,3.4,72.5,18.8,3.93
"Crème dessert, allégée en MG, rayon frais",83.03,3.62,79.1,15.0,0.95
"Crème dessert, appertisée (aliment moyen)",121.2,3.48,71.2,18.9,3.52
"Crème dessert, rayon frais (aliment moyen)",129.07,3.36,72.9,17.5,5.07
"Crème dessert, rayon frais ou appertisée (aliment moyen)",114.29,3.16,74.8,17.2,3.65
Crème pâtissière,132.84,2.81,69.7,22.3,3.6
Crêpe dentelle,452.98,6.27,2.9,72.1,15.5
"Crêpe dentelle (pour apéritif) au fromage, préemballée",552.8,9.3,0.0,48.8,35.6
"Crêpe dentelle au chocolat, préemballée",491.44,5.91,0.0,67.9,21.8
"Crêpe maison, fourrée à la confiture",294.9,6.51,30.6,54.3,5.74
"Crêpe maison, fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes",383.8,8.1,17.8,55.0,14.6
Crêpe ou Galette aux noix de St Jacques,166.0,7.7,0.0,15.8,8.0
"Crêpe ou Galette complète (œuf, jambon, fromage)",196.2,11.8,56.8,15.2,9.8
Crêpe ou Galette fourrée au poisson et / ou fruits de mer,202.8,8.5,0.0,14.3,12.4
Crêpe ou Galette fourrée béchamel champignon,147.3,4.83,66.0,20.7,5.02
"Crêpe ou Galette fourrée béchamel champignon, cuite",165.3,5.5,63.4,18.5,7.7
Crêpe ou Galette fourrée béchamel fromage,158.39,6.96,62.7,19.7,5.75
Crêpe ou Galette fourrée béchamel jambon,158.52,6.33,0.0,24.3,4.0
Crêpe ou Galette fourrée béchamel jambon fromage,179.22,8.83,62.6,19.1,7.5
Crêpe ou Galette fourrée béchamel jambon fromage champignon,149.34,6.56,69.4,16.6,6.3
"Crêpe préemballée, fourrée au sucre",403.48,6.62,0.0,58.7,15.8
"Crêpe préemballée, fourrée chocolat",444.48,6.52,9.0,58.7,20.4
"Crêpe préemballée, fourrée fraise",347.6,5.35,0.0,66.7,6.6
"Crêpe, nature, préemballée, rayon frais",251.29,6.6,42.0,40.0,7.21
"Crêpe, nature, préemballée, rayon température ambiante",378.12,7.88,16.2,60.1,11.8
"Cresson alénois, cru",24.4,2.55,91.1,2.2,0.6
"Cresson de fontaine, cru",13.19,2.06,94.6,0.9,0.15
"Crevette rose, crue",87.17,20.6,76.3,0.0,0.53
"Crevette, crue",106.0,21.4,74.3,3.21,0.84
"Crevette, cuite",109.8,19.3,71.3,5.54,1.16
"Crevette, surgelée, crue",104.66,23.4,0.0,0.74,0.9
"Croissant au beurre, artisanal",410.9,7.1,19.9,43.2,23.3
Croissant au jambon,243.4,7.9,54.0,20.1,14.6
Croissant au jambon fromage,254.18,8.92,0.0,22.0,14.5
"Croissant aux amandes, artisanal",435.98,7.62,22.1,35.9,29.1
"Croissant ordinaire, artisanal",420.12,7.38,20.5,39.6,25.8
"Croissant, sans précision",368.2,6.65,29.2,40.4,20.0
Croque-madame,257.2,13.7,51.9,16.4,15.2
Croque-monsieur,268.5,11.3,44.2,26.8,12.9
"Croque-monsieur, rayon frais",272.1,14.7,43.9,23.4,13.3
"Crosne, surgelé, cru",64.32,7.38,0.0,8.7,0.0
Crottin de Chavignol (fromage de chèvre),298.4,19.7,50.8,0.0,24.4
"Crottin de chèvre, au lait cru",386.2,23.2,41.4,0.0,32.6
"Crottin de chèvre, sans précision",341.6,22.4,0.0,0.0,28.0
"Croûton à l'ail aux fines herbes ou aux oignons, préemballé",487.74,8.81,3.4,58.9,24.1
Croûtons,512.28,9.02,3.05,52.9,29.4
Croûtons à tartiner,354.85,12.3,0.0,70.0,2.85
"Croûtons nature, préemballés",486.82,8.38,3.6,59.1,24.1
"Crudité, sans assaisonnement (aliment moyen)",18.89,1.03,93.7,2.5,0.53
Crumble aux pommes,235.14,2.68,48.7,35.9,8.98
"Cucurbitacées, graine",581.54,30.2,5.23,4.71,49.1
"Cumin, graine",406.7,17.8,8.08,33.7,22.3
"Curcuma, poudre",245.57,9.68,12.9,44.4,3.25
"Curry, poudre",194.52,14.5,8.8,2.63,14.0
"Datte, pulpe et peau, sèche",268.29,1.81,22.9,64.7,0.25
"Denté, cru",99.5,17.0,78.1,0.0,3.5
"Dés, allumettes, râpé ou haché de jambon",120.06,17.9,0.0,2.08,4.46
"Dés, allumettes, râpé ou haché de jambon de volaille",131.24,18.0,0.0,1.58,5.88
"Dessert au soja aromatisé, rayon frais",121.96,3.06,69.3,23.2,1.88
"Dessert au soja, aux fruits, rayon frais",77.68,3.08,80.8,12.2,1.84
"Dessert au soja, nature, rayon frais",40.35,3.63,90.4,1.53,2.19
"Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée)",81.08,0.32,79.4,19.5,0.2
"Dessert glacé feuilleté, à partager",260.54,2.71,54.2,26.2,16.1
Dessert glacé type mystère ou vacherin,270.38,3.02,46.0,40.5,10.7
"Dessert glacé, type sundae",227.98,2.57,54.4,32.6,9.7
Dessert lacté infantile au riz ou à la semoule,92.02,3.43,79.3,12.6,3.1
Dessert lacté infantile nature sucré ou aux fruits,94.5,3.2,78.8,13.9,2.9
Dessert lacté infantile type crème dessert,90.6,3.2,79.4,13.6,2.6
Diabolo (limonade et sirop),42.7,0.075,0.0,10.6,0.0
"Dinde, aile, crue",191.5,20.2,66.5,0.0,12.3
"Dinde, cuisse, viande et peau, crue",149.85,19.8,73.4,0.0,7.85
"Dinde, cuisse, viande sans peau, crue",109.3,21.3,76.0,0.4,2.5
"Dinde, escalope viennoise ou milanaise ou escalope panée",208.5,14.1,0.0,13.5,10.9
"Dinde, escalope, crue",109.42,24.1,74.3,0.51,1.22
"Dinde, escalope, rôtie/cuite au four",127.76,24.6,67.9,0.5,3.04
"Dinde, escalope, sautée/poêlée",123.81,28.5,66.3,0.0,1.09
"Dinde, viande et peau, crue",132.39,23.4,73.1,0.0,4.31
"Dinde, viande, crue",109.72,22.4,75.4,0.8,1.88
"Dinde, viande, rôtie/cuite au four",169.16,26.4,64.4,7.25,3.84
"Dorade grise, ou daurade grise, ou griset, crue",129.43,20.5,72.9,0.0,5.27
"Dorade grise, ou daurade grise, ou griset, rôtie/cuite au four",121.3,22.9,71.0,0.0,3.3
"Dorade rose, ou daurade rose, crue",102.0,21.0,0.0,0.0,2.0
"Dorade royale ou daurade ou vraie daurade, crue, élevage",129.5,20.9,72.5,0.0,5.1
"Dorade royale, ou daurade ou vraie daurade, crue, sauvage",92.39,17.9,78.6,0.0,2.31
"Double cheeseburger, provenant de fast food",298.3,15.5,43.8,21.5,16.7
Dragée amande,470.4,5.0,2.5,73.9,17.2
"Dulse (Palmaria palmata), séchée ou déshydratée",171.17,17.2,6.72,22.6,1.33
Eau de coco,15.32,0.5,95.0,2.88,0.2
"Eau de source Cristaline, embouteillée, non gazeuse",0.0,0.0,0.0,0.0,0.0
"Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64)",0.0,0.0,100.0,0.0,0.0
"Eau de source, embouteillée (aliment moyen)",0.0,0.0,0.0,0.0,0.0
Eau de vie,11.16,0.0,66.3,2.79,0.0
"Eau de vie de vin, type armagnac, cognac",4.0,0.0,68.0,1.0,0.0
Eau du robinet,0.0,0.0,100.0,0.0,0.0
Eau embouteillée de source,0.0,0.0,0.0,0.0,0.0
Eau minérale (aliment moyen),0.0,0.0,99.9,0.0,0.0
"Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Aix-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Aix-les-Bains, 73)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Amanda, embouteillée, non gazeuse, fortement minéralisée (St-Amand, 59)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Appollinaris, embouteillée, non gazeuse, fortement minéralisée (Allemagne)",0.0,0.0,99.8,0.0,0.0
"Eau minérale Arcens, embouteillée, gazeuse, moyennement minéralisée (Arcens, 07)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Ardesy, embouteillée, gazeuse, fortement minéralisée (Ardes, 63)",0.0,0.0,99.7,0.0,0.0
"Eau minérale Auvergne, embouteillée, gazeuse, fortement minéralisée (Cornillon, 38)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Avra, embouteillée, non gazeuse, faiblement minéralisée (Grèce)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Badoit, embouteillée, gazeuse, moyennement minéralisée (St-Galmier, 42)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Beckerich, embouteillée, non gazeuse, faiblement minéralisée (Luxembourg)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Biovive, embouteillée, non gazeuse, faiblement minéralisée (Dax, 40)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Caramulo, embouteillée, non gazeuse, très faiblement minéralisée (Portugal)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Carola, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (Ribeauville, 68)",0.0,0.0,0.0,0.0,0.0
"Eau minérale Celtic, embouteillée, gazeuse ou non gazeuse, très faiblement minéralisée (Niederbronn, 67)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63)",0.0,0.0,99.8,0.0,0.0
"Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63)",0.0,0.0,99.8,0.0,0.0
"Eau minérale Chaudfontaine, embouteillée, non gazeuse, faiblement minéralisée (Belgique)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Christinen Brunnen, embouteillée, non gazeuse, moyennement minéralisée (Allemagne)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Cilaos, embouteillée, gazeuse, fortement minéralisée (Cilaos, 974)",0.0,0.0,0.0,0.0,0.0
"Eau minérale Clos de l'Abbaye, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Contrex, embouteillée, non gazeuse, fortement minéralisée (Contrexéville, 88)",0.0,0.0,99.8,0.0,0.0
"Eau minérale Courmayeur, embouteillée, non gazeuse, fortement minéralisée (Italie)",0.0,0.0,99.8,0.0,0.0
"Eau minérale Dax, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Didier, embouteillée non gazeuse, fortement minéralisée (Martinique)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Didier, embouteillée, gazeuse, fortement minéralisée (Martinique)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Eden (La Goa), embouteillée, non gazeuse, faiblement minéralisée (Suisse)",0.0,0.0,0.0,0.0,0.0
"Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Hépar, embouteillée, non gazeuse, fortement minéralisée (Vittel, 88)",0.0,0.0,99.7,0.0,0.0
"Eau minérale Highland spring, embouteillée, non gazeuse, faiblement minéralisée (Écosse)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Hydroxydase, embouteillée, gazeuse, fortement minéralisée (Le Breuil sur Couze, 63)",0.0,0.0,99.1,0.0,0.0
"Eau minérale La Cairolle, embouteillée, non gazeuse, fortement minéralisée (Les Aires, 34)",0.0,0.0,99.8,0.0,0.0
"Eau minérale La Française, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26)",0.0,0.0,99.7,0.0,0.0
"Eau minérale Levissima, embouteillée, non gazeuse, faiblement minéralisée (Italie)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Luchon, embouteillée, non gazeuse, faiblement minéralisée (Luchon, 31)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Luso, embouteillée, non gazeuse, très faiblement minéralisée (Portugal)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Mont-Blanc, embouteillée, non gazeuse, faiblement minéralisée (Italie)",0.0,0.0,0.0,0.0,0.0
"Eau minérale Montcalm, embouteillée, non gazeuse, très faiblement minéralisée (Auzat, 09)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Montclar, embouteillée, non gazeuse, faiblement minéralisée (Montclar, 04)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Mont-Roucous, embouteillée, très faiblement minéralisée (Lacaune, 81)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Néro, embouteillée, non gazeuse, faiblement minéralisée (Grèce)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Nessel, embouteillée, gazeuse, moyennement minéralisée (Soultzmatt, 68)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Ogeu, embouteillée, gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Ogeu, embouteillée, non gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Orée du bois, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Orezza, embouteillée, gazeuse, moyennement minéralisée (Rapaggio, 20B)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Parot, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Penacova, embouteillée, non gazeuse, très faiblement minéralisée (Portugal)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Perrier, embouteillée, gazeuse, faiblement minéralisée (Vergèse, 30)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Plancoet, embouteillée, gazeuse ou non gazeuse, faiblement minéralisée (Plancoet, 22)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Prince Noir, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82)",0.0,0.0,0.0,0.0,0.0
"Eau minérale Propiac, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26)",0.0,0.0,99.6,0.0,0.0
"Eau minérale Puits St-Georges, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Quézac, embouteillée, gazeuse, moyennement minéralisée (Quézac, 48)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Reine des basaltes, embouteillée, gazeuse, moyennement minéralisée (Asperjoc, 07)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Rozana, embouteillée, gazeuse, fortement minéralisée (Beauregard, 63)",0.0,0.0,99.7,0.0,0.0
"Eau minérale Sail-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Sail-les-Bains, 42)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Salvetat, embouteillée, gazeuse, moyennement minéralisée (La Salvetat, 34)",0.0,0.0,99.9,0.0,0.0
"Eau minérale San Benedetto, embouteillée, faiblement minéralisée (Italie)",0.0,0.0,100.0,0.0,0.0
"Eau minérale San Bernardo, embouteillée, très faiblement minéralisée (Italie)",0.0,0.0,100.0,0.0,0.0
"Eau minérale San Pellegrino, embouteillée, gazeuse, moyennement minéralisée (Italie)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Soultzmatt , embouteillée, gazeuse, moyennement minéralisée ( Soultzmatt, 68)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Spa-Reine, embouteillée, gazeuse ou non non gazeuse, moyennement minéralisée (Belgique)",0.0,0.0,100.0,0.0,0.0
"Eau minérale St-Alban, embouteillée, gazeuse, moyennement minéralisée (St-Alban, 42)",0.0,0.0,99.9,0.0,0.0
"Eau minérale St-Amand, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (St-Amand, 59)",0.0,0.0,99.9,0.0,0.0
"Eau minérale St-Antonin, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82)",0.0,0.0,99.8,0.0,0.0
"Eau minérale St-Diéry, embouteillée, gazeuse, fortement minéralisée (St-Diéry, 63)",0.0,0.0,99.8,0.0,0.0
"Eau minérale Ste-Marguerite, embouteillée, gazeuse, moyennement minéralisée (St-Maurice, 63)",0.0,0.0,99.9,0.0,0.0
"Eau minérale St-Géron, embouteillée, gazeuse, moyennement minéralisée (St-Géron, 43)",0.0,0.0,99.9,0.0,0.0
"Eau minérale St-Michel-de-Mourcairol, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34)",0.0,0.0,99.9,0.0,0.0
"Eau minérale St-Yorre, embouteillée, gazeuse, fortement minéralisée (Saint-Yorre, 03)",0.0,0.0,99.5,0.0,0.0
"Eau minérale Talians, embouteillée, non gazeuse, fortement minéralisée (Italie)",0.0,0.0,99.8,0.0,0.0
"Eau minérale Thonon, embouteillée, non gazeuse, faiblement minéralisée (Thonon, 74)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Treignac, embouteillée, non gazeuse, très faiblement minéralisée (Treignac, 19)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Vals, embouteillée, gazeuse, moyennement minéralisée (Vals-les-Bains, 07)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Valvert, embouteillée, non gazeuse, faiblement minéralisée (Belgique)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Vauban, embouteillée, non gazeuse, moyennement minéralisée (St-Amand-les-Eaux, 59)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Ventadour, embouteillée, gazeuse, faiblement minéralisée (Le Pestrin, 07)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Vernet, embouteillée, gazeuse, faiblement minéralisée (Prades, 07)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Vernière, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Vichy Célestins, embouteillée, gazeuse, fortement minéralisée (Saint-Yorre, 03)",0.0,0.0,99.7,0.0,0.0
"Eau minérale Vittel, embouteillée, non gazeuse, moyennement minéralisée (Vittel, 88)",0.0,0.0,99.9,0.0,0.0
"Eau minérale Volvic active, embouteillée, gazeuse, faiblement minéralisée (Volvic, 63)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Volvic, embouteillée, non gazeuse, faiblement minéralisée (Volvic, 63)",0.0,0.0,100.0,0.0,0.0
"Eau minérale Wattwiller, embouteillée, gazeuse ou non gazeuse, faiblement minéraliséee (Wattwiller, 68)",0.0,0.0,100.0,0.0,0.0
"Eau minérale, embouteillée, faiblement minéralisée (aliment moyen)",0.0,0.0,100.0,0.0,0.0
"Eau minérale, gazeuse (aliment moyen)",0.0,0.0,99.9,0.0,0.0
"Eau minérale, plate (aliment moyen)",0.0,0.0,99.9,0.0,0.0
"Échalote, crue",53.63,1.84,79.6,8.35,1.43
"Échalote, cuite",62.52,2.13,80.0,13.5,0.0
Éclair,242.52,5.78,49.1,28.3,11.8
"Écrevisse, crue",68.2,14.8,82.6,0.81,0.64
"Écrevisse, cuite",73.74,16.3,81.6,0.56,0.7
Edam,331.1,25.4,41.6,0.0,25.5
Édulcorant à base d'extrait de stévia,393.8,0.0,0.0,98.0,0.2
Édulcorant à la saccharine,360.2,1.25,8.8,88.8,0.0
"Édulcorant à l'aspartame, en pastilles",302.6,6.35,0.0,69.3,0.0
"Édulcorant à l'aspartame, en poudre",381.32,0.63,0.0,94.7,0.0
"Églefin, cru",72.35,17.3,80.4,0.0,0.35
"Églefin, cuit à la vapeur",89.0,20.9,78.3,0.0,0.6
"Églefin, grillé/poêlé",84.95,20.0,79.7,0.0,0.55
Emmental ou emmenthal,384.6,28.2,38.7,0.0,30.2
Emmental ou emmenthal râpé,369.8,28.1,38.0,0.0,28.6
"Empereur, filet, sans peau, cru",73.5,15.0,0.0,0.0,1.5
Endive au jambon,86.72,5.84,81.8,3.33,5.56
"Endive, crue",18.8,1.1,95.5,3.15,0.2
Entremets type Opéra,395.16,5.19,30.1,39.6,24.0
"Épaule de porc, cuite, choix, découennée dégraissée",120.22,18.0,71.7,1.93,4.5
"Épaule de porc, cuite, standard, découennée dégraissée",122.94,13.7,71.8,3.58,5.98
"Épeautre, cru",318.27,14.6,11.0,59.5,2.43
"Éperlan, cru",85.7,17.6,79.5,0.0,1.7
Epice (aliment moyen),287.9,12.1,9.21,37.6,9.9
"Épinard, appertisé, égoutté",19.46,2.81,91.8,0.93,0.5
"Épinard, cru",23.98,2.62,91.6,2.25,0.5
"Épinard, cuit",16.06,3.2,92.8,0.5,0.14
"Épinard, jeunes pousses pour salades, cru",15.28,2.9,91.2,0.92,0.0
"Épinard, purée",55.4,3.7,0.0,5.2,2.2
"Épinard, surgelé, cru",19.33,2.84,91.6,0.89,0.49
"Épinard, surgelé, cuit",25.91,4.01,88.9,0.51,0.87
Épinards à la crème,35.79,2.16,90.4,1.23,2.47
Époisses,291.3,17.7,55.6,0.0,24.5
Escalope végétale ou steak à base de soja,229.1,15.5,52.5,8.7,14.7
"Escargot en sauce au beurre persillé, cuit",273.94,12.9,57.2,2.26,23.7
"Escargot, cru",77.84,16.1,79.1,1.29,0.92
"Escargot, sans matière grasse ajoutée, cuit",79.92,16.6,78.8,0.23,1.4
"Espadon, cru",132.53,19.7,0.0,0.0,5.97
"Espadon, rôti/cuit au four",266.9,28.7,52.9,0.0,16.9
"Estragon, frais",31.6,3.8,0.0,4.1,0.0
"Esturgeon, cru",116.96,16.1,74.5,0.0,5.84
"Faisan, viande et peau, cru",164.35,23.2,67.8,0.0,7.95
"Faisan, viande, cru",127.22,23.3,72.2,0.0,3.78
"Faisan, viande, rôtie/cuite au four",238.5,32.4,55.8,0.0,12.1
"Faisselle, 6% MG environ",90.58,3.75,83.9,4.27,6.5
Fajitas,155.3,12.7,63.7,16.0,4.5
"Falafel ou Boulette de pois-chiche et/ou fève, frite",237.4,8.25,48.0,18.7,14.4
Far aux pruneaux,335.55,5.5,23.3,61.4,7.55
Farine de blé tendre ou froment avec levure incorporée,341.48,9.12,0.0,74.0,1.0
Farine de blé tendre ou froment T111,326.34,9.61,12.4,68.6,1.5
